County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference,New York Zip Codes 2,Counties 2,NYS Municipal Boundaries 2
ALBANY,11277,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",LANSINGS FARM,LANSING ALBERT E JR,518-374-1637,204,LISHAKILL ROAD,,,SCHENECTADY,NY,12309,"{'type': 'Point', 'coordinates': [-73.85728, 42.761444]}",78,2030,834
SUFFOLK,645408,Nursery Stock Only,101 Acres or More,,WARRENS NURSERY INC,WARRENS NURSERY INC,,5489,SOUND AVE,,,JAMESPORT,NY,11947,"{'type': 'Point', 'coordinates': [-72.611527, 40.975097]}",1530,2179,1017
ONTARIO,645512,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",LABOR OF LOVE FLOWER FARM,AMY S. KNICKERBOCKER,585-626-0978,1702,MURRAY ROAD,,,VICTOR,NY,14564,"{'type': 'Point', 'coordinates': [-77.436253, 42.94905]}",413,2133,799
MONROE,266163,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MONROE DEPT OF PARKS,MONROE COUNTY,585-753-3081,750,EAST HENRIETTA ROAD,,,ROCHESTER,NY,14623,"{'type': 'Point', 'coordinates': [-77.61576, 43.105884]}",1682,2093,553
SUFFOLK,473353,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",HELENS GREENHOUSE & FLOWER FARM INC,HELENS GRNHSE&FLOWRFARM INC,631-722-5076,,UNION AVENUE,PO BOX 524,,AQUEBOGUE,NY,11931,"{'type': 'Point', 'coordinates': [-72.637606, 40.939435]}",1530,2179,1017
ERIE,645961,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",CW NATIVE PLANT FARM LLC,KATHLEEN M CONTRINO,716-417-2626,12288,TONAWANDA CREEK ROAD,,,AKRON,NY,14001,"{'type': 'Point', 'coordinates': [-78.526093, 43.081657]}",480,2041,284
RENSSELAER,645754,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",SAF NY REALTY CO LLC,ROBERTO M SELLA,518-658-2729,16,SATTERLEE HOLLOW ROAD,,,BERLIN,NY,12022,"{'type': 'Point', 'coordinates': [-73.375978, 42.701294]}",1149,2138,152
SUFFOLK,475297,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DACCOLTI FRANK LANDSCAPE & NURSERY,DACCOLTI FRANK,631-293-9327,21,RULAND ROAD,,,MELVILLE,NY,11747,"{'type': 'Point', 'coordinates': [-73.420408, 40.759798]}",1122,2179,1020
CHEMUNG,73391,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",PINE VALLEY FARMS,LIBERATORE JAMES,607-739-2319,3651,WATKINS ROAD,,,PINE VALLEY,NY,14872,"{'type': 'Point', 'coordinates': [-76.845741, 42.224691]}",58,2036,475
CHAUTAUQUA,645504,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SMIL'N BLOOM,MYRON AND SUSAN KEIM,716-761-2111,8108,BAILEY HILL RD,,,SHERMAN,NY,14781,"{'type': 'Point', 'coordinates': [-79.588003, 42.118672]}",1733,2035,200
CHAUTAUQUA,60113,Nursery Stock Only,10 Acres or Less,,COOKS NURSERY,RANSOM LYDELL B,716-792-7581,10749,BENNETT ROAD,,,DUNKIRK,NY,14048,"{'type': 'Point', 'coordinates': [-79.317567, 42.467852]}",508,2035,216
WESTCHESTER,555094,Nursery Stock Only,10 Acres or Less,,ACOCELLA LANDSCAPINGLTD,ACOCELLA LANDSCAPING LTD,914-723-2700,68,GAYLOR ROAD,,,SCARSDALE,NY,10583,"{'type': 'Point', 'coordinates': [-73.80221, 40.975781]}",1343,2185,975
MONROE,262963,Nursery Stock Only,10 Acres or Less,,GREAT LAKES HOSTAS,ECKER JAMES,585-469-9056,25,SUTTERS RUN,,,ROCHESTER,NY,14624,"{'type': 'Point', 'coordinates': [-77.764468, 43.122878]}",1683,2093,552
KINGS,616322,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SEASONS,YOUNG DEBORAH,917-549-0099,358,STUYVESANT AVE,,,BROOKLYN,NY,11233,"{'type': 'Point', 'coordinates': [-73.931977, 40.682504]}",816,2090,894
COLUMBIA,107090,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",HOLMQUEST FARMS,HOLMES THOMAS,518-851-2144,516,SPOOK ROCK ROAD,,,HUDSON,NY,12534,"{'type': 'Point', 'coordinates': [-73.757972, 42.205367]}",977,619,523
RENSSELAER,645217,Nursery Stock Only,10 Acres or Less,,ACA LAWNSCAPE SUPPLY LLC,JASON COFFIN,518-753-0350,1724,ROUTE 67,,,VALLEY FALLS,NY,12185,"{'type': 'Point', 'coordinates': [-73.566434, 42.908651]}",15,2138,113
CHAUTAUQUA,645895,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BARNES GREENHOUSES INC,BARNES GREENHOUSES INC,,2929,ROUTE 39,,,FORESTVILLE,NY,14062,"{'type': 'Point', 'coordinates': [-79.251673, 42.467915]}",518,2035,201
SUFFOLK,475363,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CAROLS PLANT SHED,EBBITT CAROL,631-366-2585,196,SMTIHTOWN BOULEVARD,,,NESCONSET,NY,11767,"{'type': 'Point', 'coordinates': [-73.152839, 40.835506]}",1317,2179,1014
ULSTER,645972,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",FIDDLEHEAD FARM,ROBERT FADE,845-943-9700,715,ROUTE 213,,,ROSENDALE,NY,12472,"{'type': 'Point', 'coordinates': [-74.102579, 41.840601]}",264,2182,412
PUTNAM,645501,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",HILLTOP TREE FARM INC,VINCENT GRASSO,914-384-3605,6,JUENGSTVILLE LANE,,,BREWSTER,NY,10509,"{'type': 'Point', 'coordinates': [-73.652548, 41.357962]}",1198,627,98
SUFFOLK,475801,Nursery Stock Only,10 Acres or Less,,J&R LANDSCAPING INC,J&R LANDSCAPING INC,631-324-9174,168,LONG LANE,,,EAST HAMPTON,NY,11937,"{'type': 'Point', 'coordinates': [-72.216137, 40.975183]}",1537,2179,1021
SUFFOLK,644463,Nursery Stock Only,11-100 Acres,,BUCKLEYS FLOWER SHOP INC,BUCKLEYS FLOWER SHOP INC,631-324-0966,1159,REEVES AVE,POLE#128,,RIVERHEAD,NY,11901,"{'type': 'Point', 'coordinates': [-72.671329, 40.959577]}",1530,2179,1017
ONTARIO,327300,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GOOD EARTH GREENHOUSE,SAUERHAFER TERRI,585-500-5744,877,LARUE ROAD,,,CLIFTON SPRINGS,NY,14432,"{'type': 'Point', 'coordinates': [-77.159085, 42.995471]}",182,2133,805
DUTCHESS,130978,Nursery Stock Only,11-100 Acres,,BILMAR NURSERIES INC,BILMAR NURSERIES INC,818-968-6602,26,BILMAR BOULEVARD,,,PLEASANT VALLEY,NY,12569,"{'type': 'Point', 'coordinates': [-73.81233100000001, 41.725738]}",1003,2040,589
SUFFOLK,470055,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",DAISY GARDEN CORP,DAISY GARDEN CORPORATION,631-363-2708,18,PARK AVENUE,,,BLUE POINT,NY,11715,"{'type': 'Point', 'coordinates': [-73.03458, 40.762855]}",1072,2179,1022
OSWEGO,351068,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",PAINE BEN FARMS,PAINE BEN,315-236-6402,372,SOUTH GRANBY ROAD,,,FULTON,NY,13069,"{'type': 'Point', 'coordinates': [-76.40532600000002, 43.249906]}",623,2135,247
SUFFOLK,644550,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ARTHURS NURSERY,RICHARD AUSPAKER,631-265-2992,391,COMMACK ROAD,,,COMMACK,NY,11725,"{'type': 'Point', 'coordinates': [-73.294095, 40.832562]}",1081,2179,1020
RENSSELAER,645212,Nursery Stock Only,101 Acres or More,"2,000 SqFt of Glass or Less",ELHANNON NURSERY INC,D. JAMES SUTTON AND CONNER A. SUTTON,518-686-5553,20716,STATE ROUTE 22,,,PETERSBURG,NY,12138,"{'type': 'Point', 'coordinates': [-73.338969, 42.84363]}",1234,2138,127
ERIE,144579,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",WATTENGEL FARM,WATTENGEL RICK,716-337-2556,12580,JENNINGS ROAD,,,LAWTONS,NY,14091,"{'type': 'Point', 'coordinates': [-78.871927, 42.536928]}",533,2041,283
SUFFOLK,476762,Nursery Stock Only,11-100 Acres,,DELEA LEASING CORP  DBA DELEA SOD FARMS,DELEA LEASING CORP DBA DELEA SOD FARMS,631-368-8022,,MANOR LN & SOUND AVE CHICHANOW,,,JAMESPORT,NY,11947,"{'type': 'Point', 'coordinates': [-72.586562, 40.947229]}",1530,2179,1017
COLUMBIA,100992,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",KATCHKIE FARM LLC,KATCHKIE FARM LLC,518-758-2166,34,FISCHER RD EXT,,,KINDERHOOK,NY,12106,"{'type': 'Point', 'coordinates': [-73.689002, 42.374511]}",1239,619,514
ERIE,643839,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SAVILLES COUNTRY FLORIST LLC,IRENE STEDMAN,716-662-4483,4020,N BUFFALO RD,,,ORCHARD PARK,NY,14127,"{'type': 'Point', 'coordinates': [-78.745304, 42.773681]}",956,2041,282
ONEIDA,301691,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",OLNEYS FLOWERS OF ROME LLC,OLNAY WILLIAM FLOYD JR,315-339-6000,2002,NORTH JAMES STREET,,,ROME,NY,13440,"{'type': 'Point', 'coordinates': [-75.437028, 43.239793]}",1366,625,989
SUFFOLK,475126,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",BLOOMIN HAUS THE,PAZIENZA JOSEPH&YVONNE,631-404-7953,816,WAVERLY AVENUE,,,HOLTSVILLE,NY,11742,"{'type': 'Point', 'coordinates': [-73.04307, 40.798724]}",1226,2179,1019
SUFFOLK,644227,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",BONSAI BOY,TUMOLO MARK,631-569-4200,1091,MONTAUK HWY,,,PATCHOGUE,NY,11772,"{'type': 'Point', 'coordinates': [-72.974388, 40.768474]}",1322,2179,1022
CHEMUNG,645021,Nursery Stock Only,11-100 Acres,,RED BARN TREE FARM,MARK & LISA FOSSACECA,607-739-1801,499,RORICK HOLLOW RD,,,ERIN,NY,14838,"{'type': 'Point', 'coordinates': [-76.68489003399998, 42.165200008000056]}",1777,2036,479
MONROE,645814,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ROOT TENDERS GARDEN,NANCY J MARRER,585-615-1696,199,GEBHARDT ROAD,,,PENFIELD,NY,14526,"{'type': 'Point', 'coordinates': [-77.486546, 43.136039000000004]}",366,2093,541
SARATOGA,416405,Nursery Stock Only,10 Acres or Less,,GREENSCAPES,DISIENA DAVID,518-505-4686,1470A,ROUTE 9,,,CLIFTON PARK,NY,12065,"{'type': 'Point', 'coordinates': [-73.738446, 42.833508]}",1190,2141,1002
NIAGARA,291738,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",BOKA FARMS INC,BOKA FARMS INC,716-625-9471,6021,CAMPBELL BOULEVARD,,,LOCKPORT,NY,14094,"{'type': 'Point', 'coordinates': [-78.757149, 43.132463]}",930,2131,157
MONTGOMERY,645798,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FAMILY ROOTS FARM LLC,GEORGINA AND DOMINIC FONTANA,607-282-0498,210,DUGWAY ROAD,,,CHERRY VALLEY,NY,13320,"{'type': 'Point', 'coordinates': [-74.694226, 42.846904]}",774,624,495
WAYNE,645484,Nursery Stock Only,10 Acres or Less,,FRANKE FARMS LLC,KENDRA L. FRANKE,315-986-1349,4149,BOYNTON ROAD,,,WALWORTH,NY,14568,"{'type': 'Point', 'coordinates': [-77.256773, 43.153337]}",414,631,627
CAYUGA,51810,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DOUG-MAR FARMS,KRUPKA DOUGLAS,315-776-5877,10090,STATE RT 38,,,PORT BYRON,NY,13140,"{'type': 'Point', 'coordinates': [-76.64687, 43.106127]}",681,618,83
ERIE,147301,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HOMESPUN TREASURES,LUX SUSAN,716-592-3480,11952,ALLEN ROAD,,,EAST CONCORD,NY,14055,"{'type': 'Point', 'coordinates': [-78.63949, 42.553432]}",512,2041,294
NIAGARA,290182,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",O'CONNOR FAMILY GREENHOUSES,OCONNOR THOMAS,716-791-8789,2234,LAKE ROAD,,,RANSOMVILLE,NY,14131,"{'type': 'Point', 'coordinates': [-78.931479, 43.290553]}",1106,2131,156
SUFFOLK,471218,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",LAVENDER BY THE BAY INC,LAVENDER BY THE BAY INC,631-477-1019,7540,MAIN ROAD,,,EAST MARION,NY,11939,"{'type': 'Point', 'coordinates': [-72.344082, 41.124004]}",1599,2179,1012
STEUBEN,466960,Nursery Stock Only,10 Acres or Less,,SCENIC SERVICES INC,SCENIC SERVICES INC,607-936-1357,1116,MARSH RD,,,CORNING,NY,14830,"{'type': 'Point', 'coordinates': [-77.02763, 42.053878]}",1774,2178,41
CLINTON,644156,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ARTHUR'S GREENHOUSE,CARLA ARTHUR,,27,FULLER ROAD,,,PERU,NY,12972,"{'type': 'Point', 'coordinates': [-73.490354, 44.541947]}",293,2038,14
ONTARIO,644407,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CHESHIRE FARMACY,"NOVAKOWSKI, MICHAEL",585-260-5855,3434,MIDDLE CHESHIRE RD,,,CANANDAIGUA,NY,14424,"{'type': 'Point', 'coordinates': [-77.293017, 42.863671]}",178,2133,812
SUFFOLK,644648,Nursery Stock Only,11-100 Acres,,SHL FARM LLC,DECLAN BLACKMORE,631-725-0005,342,TOWN LANE,,,AMAGANSETT,NY,11930,"{'type': 'Point', 'coordinates': [-72.144031, 40.984744]}",1531,2179,1021
ERIE,644686,Nursery Stock Only,11-100 Acres,,HILLS CHRISTMAS TREE FARM,HAROLD HILL JR,716-592-5096,13214,BELSCHER ROAD,,,SPRINGVILLE,NY,14141,"{'type': 'Point', 'coordinates': [-78.705066, 42.517115]}",5,2041,294
ORANGE,336823,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",COTTAGE GARDENS BY LAURA,"STEVENS, LAURA ANN",845-856-5688,809,MOUNTAIN ROAD,,,PORT JERVIS,NY,12771,"{'type': 'Point', 'coordinates': [-74.60891, 41.380112]}",1091,2134,876
CHENANGO,644263,Nursery Stock Only,11-100 Acres,,WALKERS TREE FARM,WALKER FRANK,607-334-5046,521,HOAG CHILDS ROAD,,,NORWICH,NY,13815,"{'type': 'Point', 'coordinates': [-75.633231, 42.566193000000005]}",446,2037,258
ORANGE,645022,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",BONNIE PLANTS INC,BONNIE PLANTS INC,,2290,ALBANY POST ROAD,,,WALDEN,NY,12586,"{'type': 'Point', 'coordinates': [-74.221969, 41.582569]}",1016,2134,893
YATES,645727,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ZIMMERMAN JAMES,JAMES ZIMMERMAN,315-536-4742,2026,INGRAM ROAD,,,PENN YAN,NY,14527,"{'type': 'Point', 'coordinates': [-77.172892, 42.665333]}",367,2225,94
MONROE,645750,Nursery Stock Only,10 Acres or Less,,KINDRED FLORA,JENNA H IANNUCCI,585-317-9176,124,WINDMILL TRAIL,,,ROCHESTER,NY,14624,"{'type': 'Point', 'coordinates': [-77.760888, 43.129518]}",1683,2093,543
KINGS,643831,Nursery Stock Only,10 Acres or Less,,GOZO NF NURSERIES INC,NICHOLAS GOZO,718-743-1407,3022,AVENUE Z,,,BROOKLYN,NY,11235,"{'type': 'Point', 'coordinates': [-73.935966, 40.589975]}",818,2090,894
ERIE,144227,Nursery Stock Only,101 Acres or More,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,,GROTH ROAD,WATZ NURSERY,,SPRINGVILLE,NY,14141,"{'type': 'Point', 'coordinates': [-78.702261, 42.522613]}",5,2041,294
LIVINGSTON,645846,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",PLEASANT VIEW GREENHOUSES,MARGARET EICHER,,2988,SWANSON ROAD,,,MOUNT MORRIS,NY,14510,"{'type': 'Point', 'coordinates': [-77.86593, 42.690293]}",321,2091,740
ONTARIO,324611,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",WILLOW POND AQUA FARMS INC,WILLOW POND AQUA FARMS INC,585-396-2753,3581,SWAMP ROAD,,,CANANDAIGUA,NY,14424,"{'type': 'Point', 'coordinates': [-77.192722, 42.915226]}",178,2133,806
CLINTON,96970,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",STAND THE,GNASS MYRON,518-236-5867,348,DEVILS DEN ROAD,,,ALTONA,NY,12910,"{'type': 'Point', 'coordinates': [-73.655562, 44.878302]}",204,2038,15
YATES,575071,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",MOMS FLOWERS,MARTIN VERNON & MARY ANN,315-531-8038,1533,CARROLL ROAD,,,PENN YAN,NY,14527,"{'type': 'Point', 'coordinates': [-77.10033800000001, 42.690675]}",367,2225,96
YATES,644719,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",EARL & VERNA NOLT,EARL & VERNA NOLT,607-243-5749,6045,PRE EMPTION ROAD,,,DUNDEE,NY,14837,"{'type': 'Point', 'coordinates': [-76.988467, 42.471374]}",1776,2143,90
CHAUTAUQUA,60383,Nursery Stock Only,11-100 Acres,,GRANDVIEW ESTATES I LLC,JEROME OSBORNE,440-352-1900,2778,ROUTE 394,,,ASHVILLE,NY,14710,"{'type': 'Point', 'coordinates': [-79.388242, 42.116068]}",1692,2035,206
RENSSELAER,384833,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",MCNEILLYS GREENHOUSE,KEVIN ALLARD,518-686-4992,5421,NEW YORK 7,,,HOOSICK FALLS,NY,12090,"{'type': 'Point', 'coordinates': [-73.294469, 42.879438]}",1234,2138,127
SUFFOLK,474228,Nursery Stock Only,11-100 Acres,,BRIARCLIFF SOD INC,BRIARCLIFF SOD INC,631-734-5261,,BRIDGE LANE,AT NYT POLE 14,,PECONIC,NY,11958,"{'type': 'Point', 'coordinates': [-72.461908, 41.043664]}",1641,2179,1012
CAYUGA,56619,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BEDNARSKI FAMILY FARM,BEDNARSKI MILLIE,315-678-1622,3787,CARTER ROAD,,,CATO,NY,13033,"{'type': 'Point', 'coordinates': [-76.488873, 43.222203]}",352,618,80
HERKIMER,644754,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BYLER'S GREENHOUSE,MEROIN BYLER,315-858-0959,244,DERONDA RD,,,JORDANVILLE,NY,13361,"{'type': 'Point', 'coordinates': [-74.804599, 42.872966]}",566,2136,898
WAYNE,51753,Nursery Stock Only,11-100 Acres,,MILL POND EVERGREEN NURSERY,HASS DONALD,315-532-2665,8295,STATE ROUTE 104A,,,RED CREEK,NY,13143,"{'type': 'Point', 'coordinates': [-76.726982, 43.295393]}",684,631,625
SUFFOLK,472151,Nursery Stock Only,10 Acres or Less,,SAMS BARGAIN CENTER INC,SAMS BARGAIN CENTER INC,631-273-7760,140,EXPRESSWAY DRIVE SOUTH,,,BRENTWOOD,NY,11717,"{'type': 'Point', 'coordinates': [-73.288329, 40.804339]}",1074,2179,1019
CAYUGA,51017,Nursery Stock Only,10 Acres or Less,,BEESLEY LANDSCAPING & NURSERY,BEESLEY ADRIAN,315-364-8745,2493,ANGLING ROAD,,,AURORA,NY,13026,"{'type': 'Point', 'coordinates': [-76.657535, 42.74053000000001]}",345,618,79
ERIE,146474,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",AGLE HENRY W&SONS INC,AGLE HENRY W&SONS INC,716-992-9668,7780,GOWANDA STATE ROAD,,,EDEN,NY,14057,"{'type': 'Point', 'coordinates': [-78.875295, 42.675286]}",513,2041,293
LEWIS,230270,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SIMMONS FARM,SIMMONS SHARI,315-767-0240,10188,ST RT 12,,,COPENHAGEN,NY,13626,"{'type': 'Point', 'coordinates': [-75.69346, 43.904462]}",1513,623,608
FULTON,170806,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",PATTIS FLOWER SHOP & GREENHOUSES LLC,ADAMKOSKI PATRICIA A,518-883-5311,3844,ST. HWY 30,,,AMSTERDAM,NY,12010,"{'type': 'Point', 'coordinates': [-74.208515, 43.039271]}",1143,2085,382
ORLEANS,346921,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",STYMUS FARMS LLC,STYMUS EDWARD,585-589-0022,13991,MAPLE STREET,,,ALBION,NY,14411,"{'type': 'Point', 'coordinates': [-78.220761, 43.1856]}",170,626,506
LEWIS,644556,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",AKB LLC DBA THE VALLEY GREENERY,KAITLIN BULL,315-376-4490,7147,MARKOWSKI ROAD,,,LOWVILLE,NY,13367,"{'type': 'Point', 'coordinates': [-75.464025, 43.77476200000001]}",571,623,619
SENECA,450330,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",DAVE & RITAS FRM MARKET,WILSON THOMAS D,315-521-4390,5404,STATE ROUTE 96A,,,ROMULUS,NY,14541,"{'type': 'Point', 'coordinates': [-76.896888, 42.767893]}",376,2144,575
SUFFOLK,644412,Nursery Stock Only,10 Acres or Less,,JAY W GUILD WHOLESALE GROWER,GUILD JAY W WHOLESALE GROWER,,CARROL RD,& RT 48,,,PECONIC,NY,11958,"{'type': 'Point', 'coordinates': [-72.46081995399999, 41.04941002600003]}",1132,2179,1012
COLUMBIA,103494,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",MARSHMEADOW FRM HERBARY,MEACHER DOROTHY,518-537-4654,113,LASHER AVENUE,,,GERMANTOWN,NY,12526,"{'type': 'Point', 'coordinates': [-73.86804, 42.100267]}",970,619,519
SULLIVAN,485718,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",EVERLASTING SPRING GARDEN CENTER LLC,EVERLASTIN SP GRD CTR LLC,845-295-0856,3195,ROUTE 52,PO BOX 213,,WHITE SULPHER SPRS,NY,12787,"{'type': 'Point', 'coordinates': [-74.82910200000002, 41.798636]}",1103,2180,655
WESTCHESTER,550692,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",BOCES PUTNAM-N WESTCHTR,BOCES PUTNAM-NORTHERN WESTCHESTER,914-248-2450,200,BOCES DRIVE,,,YORKTOWN HEIGHTS,NY,10598,"{'type': 'Point', 'coordinates': [-73.77117, 41.277957]}",1352,2185,947
SUFFOLK,470737,Nursery Stock Only,10 Acres or Less,,TANDY FARM THE,STEELE TIMOTHY T,516-639-2057,,ROUTE 48 AND ELIJAHS LANE,,,MATTITUCK,NY,11952,"{'type': 'Point', 'coordinates': [-72.540397, 40.995965]}",1635,2179,1012
ALLEGANY,645486,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREE FARM LLC - GROW,KEITH A AND MICHELLE D KRAUS,607-525-6456,,BINES HILL ROAD,,,ANDOVER,NY,14806,"{'type': 'Point', 'coordinates': [-77.78013700000001, 42.155039]}",1753,2031,469
ERIE,146250,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",AMOS ZITTEL &SONS INC,ZITTEL AMOS&SONS INC,716-649-6340,3065,BLEY RD,,,EDEN,NY,14057,"{'type': 'Point', 'coordinates': [-78.880631, 42.681412]}",513,2041,293
ONTARIO,321815,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",THE VIOLET BARN,ROBINSON RALPH & OLIVE MA,585-374-8592,7209,COUNTY ROAD #12,,,NAPLES,NY,14512,"{'type': 'Point', 'coordinates': [-77.372771, 42.666959]}",323,2133,804
SUFFOLK,645559,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",BEYOND ORGANIC LLC,BARBARA ARDOLINA,631-655-4368,9,TERRY PLACE,,,CENTER MORICHES,NY,11934,"{'type': 'Point', 'coordinates': [-72.792791, 40.795002]}",1535,2179,1022
SUFFOLK,645916,Nursery Stock Only,11-100 Acres,,SUJECKI FARMS & NURSERIES,JONATHAN SUJECKI,631-793-8741,3000,MIDDLE COUNTRY ROAD,,,CALVERTON,NY,11933,"{'type': 'Point', 'coordinates': [-72.730934, 40.925261]}",1534,2179,1017
SUFFOLK,475412,Nursery Stock Only,11-100 Acres,,WHITMORE NURSERIES INC,WHITMORE NURSERIES INC,631-267-3756,,LONG LANE,,,EAST HAMPTON,NY,11937,"{'type': 'Point', 'coordinates': [-72.182673, 40.990944]}",1537,2179,1021
WESTCHESTER,645769,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",WHITE PLAINS ORCHIDS,"ALEX WANG, CHUANG YING CHIEH, ERIC WANG",914-948-2064,1485,MAMARONECK AVENUE,,,WHITE PLAINS,NY,10605,"{'type': 'Point', 'coordinates': [-73.745948, 40.991428]}",1438,2185,949
SUFFOLK,644490,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",KOPPERT CRESS USA LLC,KOPPERT CRESS USA LLC,631-734-8500,2995,SOUND AVE,,,RIVERHEAD,NY,11901,"{'type': 'Point', 'coordinates': [-72.718307, 40.962514]}",1534,2179,1017
OTSEGO,361139,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",DAVIS NURSERY LLC,DAVIS NURSERY LLC,607-965-8223,172,EAST WALT DAVIS ROAD,,,EDMESTON,NY,13335,"{'type': 'Point', 'coordinates': [-75.260914, 42.673479]}",548,2136,910
CAYUGA,645582,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",VITALES FARM MARKET,SHARON VITALE,,7229,NORTH DIVISION STREET ROAD,,,AUBURN,NY,13021,"{'type': 'Point', 'coordinates': [-76.604054, 42.968642]}",343,618,66
SUFFOLK,471834,Nursery Stock Only,101 Acres or More,,SHADE TREES NURSERY INC,SHADE TREES NURSERY INC,631-722-4041,,HERRICKS LANE,,FIELD #2,JAMESPORT,NY,11947,"{'type': 'Point', 'coordinates': [-72.586562, 40.947229]}",1530,2179,1017
STEUBEN,465504,Nursery Stock Only,101 Acres or More,,WEIL ENTERPRISES INC,WEIL ENTERPRISES INC,607-936-4266,766,STATE ROUTE 417,,,PAINTED POST,NY,14870,"{'type': 'Point', 'coordinates': [-77.696712, 42.152978]}",1778,2178,34
ALLEGANY,645705,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BACKPORCH PRODUCE,CHERI LIDDLE,716-946-8308,10260,FAIRVIEW ROAD,,,FARMERSVILLE STATION,NY,14060,"{'type': 'Point', 'coordinates': [-78.29257, 42.448471]}",516,2031,462
